time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.86596994361e-06,-7.88125059862e-08,10.0068337552,6.28287510035,0.00103725758671,0.0,-0.000140339260339,-1.80086615343e-05,0.227773417328,-0.0183023189908,0.0391134948736,0.0,473.84554682883856,476.8423457098804,476.78945420907155,475.3894348140622
0.12000000000000001,-4.50209579219e-05,-1.32812239295e-05,10.0265000578,6.28180677916,0.00325660839979,0.0,-0.0015652167835,-0.000548557300341,0.427715354647,-0.0168295585433,0.0323617123233,0.0,467.3051759425375,466.77922315583623,468.13114194917677,468.24579408583133
0.18,-0.000212861342711,-7.81242601948e-05,10.0548565179,6.28067976193,0.00550996490983,0.0,-0.00424174290236,-0.00171986112052,0.517462034429,-0.0230097102997,0.0463188301591,0.0,432.99563488002116,434.16872852209553,434.36569068234695,433.8472203670561
0.23999999999999996,-0.000618850511059,-0.000250649569255,10.0934091333,6.27884746503,0.00809001493393,0.0,-0.00962452438188,-0.00422073258122,0.767488040759,-0.0531736684551,0.0353674660922,0.0,483.3127090615979,482.4875859235085,483.1965974636904,480.917194152293
0.3,-0.00136718395628,-0.000602674182894,10.1418247193,6.27545054546,0.0109558122866,0.0,-0.0155733447709,-0.00783770256028,0.846305270433,-0.0645795896428,0.0651547087119,0.0,429.74329080118264,432.26179769428643,430.98967603217056,430.02235304156244
0.36000000000000004,-0.00252919602656,-0.00123701833234,10.19442927,6.27209518587,0.0148939575688,0.0,-0.0235373609064,-0.0136505825449,0.907125270246,-0.0426298802307,0.0665804364538,0.0,425.47577764470253,425.60120481544345,423.63024862725956,425.5107543958741
0.4200000000000001,-0.00429072045253,-0.00231323291175,10.2534445145,6.2696170796,0.019807407056,0.0,-0.0356787846947,-0.0224980188336,1.05990824095,-0.0387703909709,0.102026875923,0.0,452.88910647045327,455.7357018611075,453.9950907456472,454.3037473005177
0.48000000000000015,-0.00696796319144,-0.00402148183655,10.3249867765,6.26738932958,0.0260839630479,0.0,-0.054341019453,-0.0347271163143,1.32454346984,-0.0340343701586,0.109326016978,0.0,487.3879739188514,487.9415923321813,487.2636701435433,487.61703865120177
0.5400000000000001,-0.010886208406,-0.00649446540244,10.4108663415,6.26521217352,0.0330756572171,0.0,-0.0770682308198,-0.0479510869343,1.53781819345,-0.0412180102594,0.128011483074,0.0,472.4696533124869,473.918998911734,473.71234443372845,473.15916355597864
0.6000000000000002,-0.0163572355797,-0.00982391532972,10.5100152314,6.26265462041,0.0406856841786,0.0,-0.106214056989,-0.063328317129,1.76677869906,-0.0456008882473,0.124370412534,0.0,479.07900326448026,478.8154944311648,478.2681731622851,477.9334086579699
0.6600000000000003,-0.0237889507266,-0.0141520354089,10.6234851395,6.26006079444,0.0488736483668,0.0,-0.142471522715,-0.08126274986,2.01509469,-0.0388685199868,0.153543691344,0.0,482.4329934232007,484.64560235146604,485.97615432021627,486.47961106794656
0.7200000000000003,-0.0334015444355,-0.0195228991186,10.7477419425,6.25740804544,0.0584379090849,0.0,-0.178913798351,-0.0980153773847,2.12653604467,-0.0579216453852,0.169096245358,0.0,443.9874339792554,445.2854221090698,445.7949038256093,444.2341774812804
0.7800000000000004,-0.045368140358,-0.0259423919351,10.8780633628,6.25419981926,0.0686326423424,0.0,-0.220985923438,-0.116296433039,2.21725999526,-0.0457963492853,0.171493985968,0.0,437.82943480721843,438.05700062410483,439.2993319555821,440.3016047097126
0.8400000000000004,-0.0600160053383,-0.0334995247003,11.0130823946,6.25170188561,0.0790782335007,0.0,-0.268272883455,-0.135855189573,2.28315510716,-0.0343902924753,0.178835308472,0.0,430.9700132032722,431.62014607765303,431.1572824310972,432.1188073858198
0.9000000000000005,-0.0778519739539,-0.0423331574606,11.1538106656,6.24945015325,0.0898603459701,0.0,-0.32737467185,-0.158814893497,2.40741846111,-0.0446880585187,0.181378546902,0.0,451.3201577315251,451.5560069417644,449.8978288615846,449.0626325305761
0.9600000000000005,-0.0997115806912,-0.0526835377168,11.304641348,6.24793473866,0.100839059939,0.0,-0.402532704451,-0.186408232411,2.61965905371,-0.00175789435184,0.185996192638,0.0,477.69487494508564,478.07667659956684,476.0319085023937,479.30525594070195
1.0200000000000005,-0.126092613029,-0.064629113177,11.4657262048,6.24799321438,0.11205408913,0.0,-0.477993738361,-0.211764459854,2.74938337424,0.00594547687789,0.188695523224,0.0,454.490930452571,454.74027786627875,453.5457540819942,454.16400821648705
1.0800000000000005,-0.157254934975,-0.0780955113729,11.6346622462,6.24852102415,0.12337842995,0.0,-0.561920948356,-0.237051401739,2.88132418315,0.013963843618,0.188825715599,0.0,456.3749085229762,456.4189110536536,455.0626670303034,455.70394681141426
1.1400000000000006,-0.194605442016,-0.0933131239635,11.8186690421,6.24939860795,0.134192116324,0.0,-0.684557333495,-0.270039567555,3.25100978634,0.0159195954451,0.151392408423,0.0,525.873087048425,523.2986486571015,525.4744529731539,525.6098656665248
1.2000000000000006,-0.238404594414,-0.110185601942,12.0159772425,6.24984791677,0.143460065221,0.0,-0.77628612301,-0.292285227184,3.32554794248,-0.0203169447126,0.159989371676,0.0,440.7285065144386,441.4611708840845,443.3131400257657,440.3254232872374
1.2600000000000007,-0.288073259719,-0.128432555601,12.2189502152,6.2484658958,0.15261728397,0.0,-0.880268427767,-0.316064149249,3.43967199831,-0.0291109533484,0.130812193606,0.0,455.4927841783651,453.17415038515753,455.5616930924702,454.85791531809184
